frame_index,time_ps,elapsed_ps,volume_nm3,density_g_ml,void_radius_angstrom,void_x_angstrom,void_y_angstrom,void_z_angstrom,eda_thf_contacts,eda_thf_hydrogen_bonds,eda_eda_hydrogen_bonds,cavity_associated_hydrogen_bonds,cavity_bridging_hydrogen_bonds
0,0.0,0.0,8.114257323397148,0.8657809826412104,2.052694689334718,7.033167648315431,11.052120590209963,19.09002647399902,14,7,34,1,0
10,100.0,100.0,8.5769229913069,0.8190780873251106,2.2660326747517887,19.10501047770182,9.21134433746338,19.10501047770182,14,6,25,0,0
20,200.0,200.0,8.116487217710839,0.8655431211084674,1.8640368588856664,8.708528963724772,1.0048302650451661,0.334943421681722,13,9,26,4,0
30,300.0,300.0,8.15258268379687,0.8617109388926327,1.9501995666522947,3.018952846527101,13.417568206787111,6.037905693054199,13,8,22,1,0
40,400.0,400.0,8.272255918496198,0.8492447221255115,2.3485529232378015,8.763886642456058,14.49412021636963,14.831192779541015,16,7,30,0,0
50,500.0,500.0,8.280731265243784,0.8483755182758731,1.9515102508219277,8.76687863667806,14.161880874633791,3.3718763987223306,16,10,32,4,0
60,600.0,600.0,8.12851026084209,0.8642628788570458,1.6101860747981165,1.6755436261494967,5.026630878448487,13.069240283966066,19,12,27,0,0
70,700.0,700.0,8.07722470059205,0.869750432761823,2.10467080614628,19.395343017578124,19.060940551757813,1.0032073974609375,13,8,33,1,0
80,800.0,800.0,7.8800230000379,0.8915163926324369,1.9776571757315142,19.236197980244956,18.904539394378663,12.603026262919107,18,10,37,0,0
90,900.0,900.0,8.072834978922039,0.8702233722350271,1.8266332051366894,11.367623774210617,19.391828791300455,17.385777537027995,7,5,40,0,0
100,1000.0,1000.0,8.093814509292425,0.8679677142080406,1.7857296886412322,12.381356334686282,11.377462577819827,19.073981380462644,10,6,31,1,0
110,1100.0,1100.0,8.041623187633288,0.8736009528098746,2.287491429576461,4.340835634867352,12.688596471150715,9.34949213663737,14,6,27,1,0
120,1200.0,1200.0,8.216498574121987,0.8550077159363627,2.0796777020246573,14.797795486450195,14.125168418884279,3.0268218040466306,15,7,34,2,0
130,1300.0,1300.0,7.709163765843191,0.9112751904403268,1.8927857361770024,9.877319335937502,0.32924397786458437,17.120686848958332,17,11,33,0,0
140,1400.0,1400.0,8.337380777298126,0.8426111109118672,1.9350865650077635,14.870011520385741,13.518192291259767,7.097050952911377,13,8,26,1,0
150,1500.0,1500.0,8.077330663168869,0.8697390229284401,1.5729841253229815,7.356886418660483,13.04175319671631,15.382580693562826,15,10,28,0,0
160,1600.0,1600.0,7.883288579760563,0.8911470901738566,1.5925717375828217,6.6340878804524746,0.6634087880452487,19.238854853312176,16,7,32,3,0
170,1700.0,1700.0,8.16321455023414,0.8605886364524036,1.9583669664718852,12.752228418986004,3.3558495839436855,15.436908086140951,14,6,31,1,0
180,1800.0,1800.0,8.324445134988684,0.8439204733690602,2.256186701656488,4.05335922241211,19.591236241658528,5.066699028015137,15,8,25,1,0
190,1900.0,1900.0,8.31835936639798,0.844537891357832,2.518567117001405,18.235670471191405,19.9241584777832,8.104742431640624,13,3,31,1,0
200,2000.0,2000.0,8.750072560636232,0.8028698768120398,2.6041666994025183,2.0606483459472678,16.485186767578124,18.8892765045166,8,4,30,0,0
210,2100.0,2100.0,8.269653603370891,0.8495119645629181,2.274124564377594,3.033334922790528,0.337037213643393,17.86297232309977,17,10,25,1,0
220,2200.0,2200.0,8.280487693888839,0.848400473324673,2.2770858250402712,12.138636016845705,14.836110687255859,11.801451683044434,11,4,34,0,0
230,2300.0,2300.0,8.086486101850594,0.868754313105999,2.3684342276573975,8.363255659739176,10.035906791687012,12.712148602803548,11,7,27,1,0
240,2400.0,2400.0,8.208765639910705,0.8558131620542696,1.878644483565912,9.07761583328247,9.07761583328247,5.379327901204427,18,13,25,0,0
250,2500.0,2500.0,8.220951871108763,0.8545445574913618,1.7719627402548108,19.509708404541016,9.08210563659668,11.100351333618166,14,6,26,0,0
260,2600.0,2600.0,7.917139541555594,0.8873368521522971,2.4151244511725443,15.280210876464844,10.6297119140625,8.636640930175782,15,7,29,0,0
270,2700.0,2700.0,7.637479907878805,0.9198282370088168,1.559888264539133,6.892626380920411,3.9386436462402354,16.08279488881429,12,5,23,3,0
280,2800.0,2800.0,8.363766136210817,0.8399529069134346,2.3805393325010913,18.26879081726074,1.3532437642415367,2.706487528483073,14,9,32,3,0
290,2900.0,2900.0,8.393905198273064,0.8369369814064326,1.7973611796103002,5.0807523727417,14.90354029337565,7.113053321838378,18,10,21,0,0
300,3000.0,3000.0,8.333268890845437,0.843026880672477,1.7853733941520422,3.3789923985799173,11.488574155171715,19.260256671905516,11,7,32,2,0
310,3100.0,3100.0,8.350671316291962,0.8412700503669066,1.9441701776096487,1.0144028663635267,13.18723726272583,7.100820064544677,16,9,20,0,0
320,3200.0,3200.0,8.128091567141052,0.8643073987077917,2.1944202069288705,16.755148569742836,1.0053089141845708,7.037162399291992,13,8,32,1,0
330,3300.0,3300.0,8.096282904855219,0.8677030881222706,1.7732616256975968,18.07192440032959,11.713284333546957,12.047949600219725,20,10,34,1,0
340,3400.0,3400.0,7.898148033615806,0.8894704997873112,1.96110116797037,4.646777470906577,10.62120564778646,16.927546501159668,24,13,23,0,0
350,3500.0,3500.0,8.635508777727921,0.8135212249419779,2.1617641972989983,4.445166969299318,2.0516155242919925,9.916141700744628,10,5,31,1,0
360,3600.0,3600.0,8.090357292430605,0.8683386190406225,2.2026174413806032,19.40584882100423,3.011252403259278,4.349586804707846,12,6,32,2,0
