pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.051307821381800574
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,0.35915474967260386
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,0.9748486062542108
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,1.8983893911266192
thf_o-thf_o,0.4,0.5,0.45,0.0,0,3.129777104289831
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,4.669011745743854
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,6.516093315488668
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,8.671021813524296
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,11.133797239850717
thf_o-thf_o,0.9,1.0,0.95,0.0,0,13.904419594467932
thf_o-thf_o,1.0,1.1,1.05,0.0,0,16.982888877376006
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,20.369205088574848
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,24.063368228064395
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,28.065378295844933
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,32.3752352919161
thf_o-thf_o,1.5,1.6,1.55,0.0,0,36.99293921627823
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,41.91849006893106
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,47.15188784987467
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,52.69313255910916
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,58.54222419663433
thf_o-thf_o,2.0,2.1,2.05,0.0,0,64.69916276245053
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,71.16394825655743
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,77.93658067895498
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,85.01706002964369
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,92.40538630862243
thf_o-thf_o,2.5,2.6,2.55,0.0,0,100.10155951589286
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,108.10557965145387
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0,0,116.4174467153055
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0,125.03716070744811
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.0,0,133.9647216278806
thf_o-thf_o,3.0,3.1,3.05,0.020949701728378036,3,143.20012947660547
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.04582849878706994,7,152.7433842536204
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.06150270066677513,10,162.59448595892604
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.08682895385195008,15,172.75343459252235
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.1091582517014904,20,183.2202301544092
thf_o-thf_o,3.5,3.6,3.55,0.23196489364150913,45,193.99487264458816
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.15603867573721145,32,205.07736206305663
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.3279935090619512,71,216.46769840981693
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.35500487365535965,81,228.16588168486714
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.5745884225805499,138,240.17191188820755
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.594092842144919,150,252.4857890198415
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.6525654365289516,173,265.10751307976255
thf_o-thf_o,4.2,4.3,4.25,0.8703874909752487,242,278.0370840679761
thf_o-thf_o,4.3,4.4,4.35,1.0539885843366896,307,291.27450198448344
thf_o-thf_o,4.4,4.5,4.45,1.3483377547171793,411,304.8197668292759
thf_o-thf_o,4.5,4.6000000000000005,4.550000000000001,1.4874187037154496,474,318.6728786023646
thf_o-thf_o,4.6000000000000005,4.7,4.65,1.6254356960295824,541,332.83383730373913
thf_o-thf_o,4.7,4.800000000000001,4.75,1.5778745458757426,548,347.3026429334103
thf_o-thf_o,4.800000000000001,4.9,4.8500000000000005,1.4996714994794542,543,362.0792954913652
thf_o-thf_o,4.9,5.0,4.95,1.5669584617343166,591,377.1637949776145
thf_o-thf_o,5.0,5.1000000000000005,5.050000000000001,1.5972237697680964,627,392.5561413921577
thf_o-thf_o,5.1000000000000005,5.2,5.15,1.4280243817366556,583,408.25633473498493
thf_o-thf_o,5.2,5.300000000000001,5.25,1.4071414786862546,597,424.26437500611195
thf_o-thf_o,5.300000000000001,5.4,5.3500000000000005,1.411774546790418,622,440.580262205519
thf_o-thf_o,5.4,5.5,5.45,1.3932511638322087,637,457.20399633322313
thf_o-thf_o,5.5,5.6000000000000005,5.550000000000001,1.5333167023726653,727,474.135577389221
thf_o-thf_o,5.6000000000000005,5.7,5.65,1.4143983564481848,695,491.3750053735026
thf_o-thf_o,5.7,5.800000000000001,5.75,1.4285088866443971,727,508.9222802860828
thf_o-thf_o,5.800000000000001,5.9,5.8500000000000005,1.4484296344514225,763,526.7774021269444
thf_o-thf_o,5.9,6.0,5.95,1.3175753501604577,718,544.9403708961011
thf_o-thf_o,6.0,6.1000000000000005,6.050000000000001,1.3081032424222572,737,563.4111865935545
thf_o-thf_o,6.1000000000000005,6.2,6.15,1.216098152431583,708,582.1898492192896
thf_o-thf_o,6.2,6.300000000000001,6.25,1.2406940487763896,746,601.2763587733238
thf_o-thf_o,6.300000000000001,6.4,6.3500000000000005,1.184202801798488,735,620.6707152556396
thf_o-thf_o,6.4,6.5,6.45,1.125906450731363,721,640.3729186662488
thf_o-thf_o,6.5,6.6000000000000005,6.550000000000001,1.1235904540630313,742,660.3829690051596
thf_o-thf_o,6.6000000000000005,6.7,6.65,1.1370633392000515,774,680.7008662723447
