pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
eda_n-eda_n,0.0,0.1,0.05,0.0,0,0.9390694546619623
eda_n-eda_n,0.1,0.2,0.15000000000000002,0.0,0,6.573486182633735
eda_n-eda_n,0.2,0.30000000000000004,0.25,0.0,0,17.84231963857728
eda_n-eda_n,0.30000000000000004,0.4,0.35000000000000003,0.0,0,34.745569822492584
eda_n-eda_n,0.4,0.5,0.45,0.0,0,57.28323673437963
eda_n-eda_n,0.5,0.6000000000000001,0.55,0.0,0,85.4553203742386
eda_n-eda_n,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,119.26182074206906
eda_n-eda_n,0.7000000000000001,0.8,0.75,0.0,0,158.70273783787155
eda_n-eda_n,0.8,0.9,0.8500000000000001,0.0,0,203.77807166164567
eda_n-eda_n,0.9,1.0,0.95,0.0,0,254.48782221339147
eda_n-eda_n,1.0,1.1,1.05,0.0,0,310.83198949310975
eda_n-eda_n,1.1,1.2000000000000002,1.1500000000000001,0.0,0,372.8105735007995
eda_n-eda_n,1.2000000000000002,1.3,1.25,0.0,0,440.42357423645916
eda_n-eda_n,1.3,1.4000000000000001,1.35,0.0,0,513.6709917000937
eda_n-eda_n,1.4000000000000001,1.5,1.4500000000000002,0.0,0,592.5528258916976
eda_n-eda_n,1.5,1.6,1.55,0.0,0,677.0690768112752
eda_n-eda_n,1.6,1.7000000000000002,1.6500000000000001,0.0,0,767.2197444588227
eda_n-eda_n,1.7000000000000002,1.8,1.75,0.0,0,863.0048288343424
eda_n-eda_n,1.8,1.9000000000000001,1.85,0.0,0,964.4243299378354
eda_n-eda_n,1.9000000000000001,2.0,1.9500000000000002,0.0,0,1071.4782477692966
eda_n-eda_n,2.0,2.1,2.05,0.0,0,1184.1665823287337
eda_n-eda_n,2.1,2.2,2.1500000000000004,0.0,0,1302.4893336161433
eda_n-eda_n,2.2,2.3000000000000003,2.25,0.0,0,1426.44650163152
eda_n-eda_n,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,1556.038086374874
eda_n-eda_n,2.4000000000000004,2.5,2.45,0.0,0,1691.2640878461864
eda_n-eda_n,2.5,2.6,2.55,0.0,0,1832.124506045488
eda_n-eda_n,2.6,2.7,2.6500000000000004,0.0015162087713774695,3,1978.6193409727555
eda_n-eda_n,2.7,2.8000000000000003,2.75,0.07602961727183156,162,2130.7485926279924
eda_n-eda_n,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.5073164866886049,1161,2288.512261011205
eda_n-eda_n,2.9000000000000004,3.0,2.95,1.3356932096556136,3275,2451.910346122374
eda_n-eda_n,3.0,3.1,3.05,1.8584914981219307,4871,2620.942847961539
eda_n-eda_n,3.1,3.2,3.1500000000000004,1.8622055418215033,5206,2795.6097665286657
eda_n-eda_n,3.2,3.3000000000000003,3.25,1.6411780570349979,4884,2975.9111018237613
eda_n-eda_n,3.3000000000000003,3.4000000000000004,3.3500000000000005,1.3286538514314523,4201,3161.846853846822
eda_n-eda_n,3.4000000000000004,3.5,3.45,1.1054396083217313,3707,3353.4170225978555
eda_n-eda_n,3.5,3.6,3.55,0.9311045684168593,3306,3550.621608076882
eda_n-eda_n,3.6,3.7,3.6500000000000004,0.7600985586962739,2853,3753.460610283862
eda_n-eda_n,3.7,3.8000000000000003,3.75,0.7397902081115432,2931,3961.934029218826
eda_n-eda_n,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.6843801121905009,2858,4176.0418648817495
eda_n-eda_n,3.9000000000000004,4.0,3.95,0.6563106656361469,2885,4395.784117272627
eda_n-eda_n,4.0,4.1000000000000005,4.050000000000001,0.6409644972151901,2962,4621.160786391531
eda_n-eda_n,4.1000000000000005,4.2,4.15,0.6551705264581863,3179,4852.171872238345
eda_n-eda_n,4.2,4.3,4.25,0.672258355533069,3421,5088.817374813154
eda_n-eda_n,4.3,4.4,4.35,0.7263045085058912,3872,5331.097294115989
eda_n-eda_n,4.4,4.5,4.45,0.7671609746917603,4280,5579.011630146689
eda_n-eda_n,4.5,4.6000000000000005,4.550000000000001,0.8431974428270069,4918,5832.560382905469
eda_n-eda_n,4.6000000000000005,4.7,4.65,0.9146806578573002,5572,6091.7435523921295
eda_n-eda_n,4.7,4.800000000000001,4.75,0.9278601859389399,5898,6356.5611386068595
