pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.17148557424921407
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.2003990197444978
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,3.2582259107350646
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,6.344966247220917
thf_o-thf_o,0.4,0.5,0.45,0.0,0,10.46062002920205
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,15.60518725667849
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,21.778667929650172
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,28.981062048117167
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,37.21236961207941
thf_o-thf_o,0.9,1.0,0.95,0.0,0,46.47259062153698
thf_o-thf_o,1.0,1.1,1.05,0.0,0,56.7617250764899
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,68.07977297693805
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,80.42673432288126
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,93.80260911432018
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,108.20739735125395
thf_o-thf_o,1.5,1.6,1.55,0.0,0,123.64109903368345
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,140.1037141616078
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,157.5952427350276
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,176.11568475394296
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,195.6650402183529
thf_o-thf_o,2.0,2.1,2.05,0.0,0,216.243309128259
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,237.85049148366025
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,260.4865872845562
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,284.1515965309479
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,308.84551922283316
thf_o-thf_o,2.5,2.6,2.55,0.0,0,334.5683553602164
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,361.32010494309463
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0,0,389.10076797146695
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0,417.9103444453349
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.004466789964596489,2,447.74883436469605
thf_o-thf_o,3.0,3.1,3.05,0.014625496270678894,7,478.6162377295571
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.02154697255175933,11,510.512554539911
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.057044248426065425,31,543.4377847957597
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.0640812560305571,37,577.3919284971033
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.1388038407718735,85,612.3749856439417
thf_o-thf_o,3.5,3.6,3.55,0.1372637113439516,89,648.3869562362792
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.21592353170366352,148,685.4278402741081
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.2736705549084086,198,723.497637757435
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.32913873824914625,251,762.5963486862552
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.4621763052441028,371,802.7239730605679
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.5308808465461776,448,843.8805108803857
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.6850505785484599,607,886.0659621456862
thf_o-thf_o,4.2,4.3,4.25,0.8813271693488475,819,929.2803268564876
thf_o-thf_o,4.3,4.4,4.35,1.0302780485603316,1003,973.5236050127936
thf_o-thf_o,4.4,4.5,4.45,1.3358908669652518,1361,1018.7957966145758
