pair,r_lower_angstrom,r_upper_angstrom,r_center_angstrom,g_r,count,expected_count
thf_o-thf_o,0.0,0.1,0.05,0.0,0,0.19436370356308608
thf_o-thf_o,0.1,0.2,0.15000000000000002,0.0,0,1.3605459249416039
thf_o-thf_o,0.2,0.30000000000000004,0.25,0.0,0,3.692910367698639
thf_o-thf_o,0.30000000000000004,0.4,0.35000000000000003,0.0,0,7.191457031834191
thf_o-thf_o,0.4,0.5,0.45,0.0,0,11.856185917348258
thf_o-thf_o,0.5,0.6000000000000001,0.55,0.0,0,17.68709702424085
thf_o-thf_o,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,24.68419035251194
thf_o-thf_o,0.7000000000000001,0.8,0.75,0.0,0,32.84746590216157
thf_o-thf_o,0.8,0.9,0.8500000000000001,0.0,0,42.17692367318969
thf_o-thf_o,0.9,1.0,0.95,0.0,0,52.67256366559634
thf_o-thf_o,1.0,1.1,1.05,0.0,0,64.33438587938156
thf_o-thf_o,1.1,1.2000000000000002,1.1500000000000001,0.0,0,77.16239031454529
thf_o-thf_o,1.2000000000000002,1.3,1.25,0.0,0,91.15657697108726
thf_o-thf_o,1.3,1.4000000000000001,1.35,0.0,0,106.31694584900823
thf_o-thf_o,1.4000000000000001,1.5,1.4500000000000002,0.0,0,122.64349694830726
thf_o-thf_o,1.5,1.6,1.55,0.0,0,140.13623026898532
thf_o-thf_o,1.6,1.7000000000000002,1.6500000000000001,0.0,0,158.79514581104138
thf_o-thf_o,1.7000000000000002,1.8,1.75,0.0,0,178.62024357447606
thf_o-thf_o,1.8,1.9000000000000001,1.85,0.0,0,199.6115235592897
thf_o-thf_o,1.9000000000000001,2.0,1.9500000000000002,0.0,0,221.76898576548098
thf_o-thf_o,2.0,2.1,2.05,0.0,0,245.09263019305178
thf_o-thf_o,2.1,2.2,2.1500000000000004,0.0,0,269.5824568420009
thf_o-thf_o,2.2,2.3000000000000003,2.25,0.0,0,295.23846571232787
thf_o-thf_o,2.3000000000000003,2.4000000000000004,2.3500000000000005,0.0,0,322.0606568040341
thf_o-thf_o,2.4000000000000004,2.5,2.45,0.0,0,350.0490301171172
thf_o-thf_o,2.5,2.6,2.55,0.0,0,379.2035856515812
thf_o-thf_o,2.6,2.7,2.6500000000000004,0.0,0,409.5243234074229
thf_o-thf_o,2.7,2.8000000000000003,2.75,0.0,0,441.01124338464246
thf_o-thf_o,2.8000000000000003,2.9000000000000004,2.8500000000000005,0.0,0,473.66434558324187
thf_o-thf_o,2.9000000000000004,3.0,2.95,0.003941013821445483,2,507.48363000321604
thf_o-thf_o,3.0,3.1,3.05,0.01290396087684677,7,542.4690966445746
thf_o-thf_o,3.1,3.2,3.1500000000000004,0.020738972968345527,12,578.6207455073081
thf_o-thf_o,3.2,3.3000000000000003,3.25,0.042212001306823364,26,615.9385765914213
thf_o-thf_o,3.3000000000000003,3.4000000000000004,3.3500000000000005,0.061122584424081534,40,654.4225898969105
thf_o-thf_o,3.4000000000000004,3.5,3.45,0.13687325305802908,95,694.0727854237788
thf_o-thf_o,3.5,3.6,3.55,0.13063194398680697,96,734.8891631720295
thf_o-thf_o,3.6,3.7,3.6500000000000004,0.20080535222615487,156,776.8717231416555
thf_o-thf_o,3.7,3.8000000000000003,3.75,0.30608992166820553,251,820.0204653326622
thf_o-thf_o,3.8000000000000003,3.9000000000000004,3.8500000000000005,0.3679127382413456,318,864.3353897450445
thf_o-thf_o,3.9000000000000004,4.0,3.95,0.43305435938804687,394,909.8164963788034
thf_o-thf_o,4.0,4.1000000000000005,4.050000000000001,0.5750348403055011,550,956.4637852339508
thf_o-thf_o,4.1000000000000005,4.2,4.15,0.6950271905632195,698,1004.2772563104638
thf_o-thf_o,4.2,4.3,4.25,0.819363245687982,863,1053.2569096083607
thf_o-thf_o,4.3,4.4,4.35,1.1165460711786401,1232,1103.4027451276463
thf_o-thf_o,4.4,4.5,4.45,1.331930663274484,1538,1154.7147628682899
thf_o-thf_o,4.5,4.6000000000000005,4.550000000000001,1.417337619321821,1711,1207.1929628303333
thf_o-thf_o,4.6000000000000005,4.7,4.65,1.4910725855598104,1880,1260.8373450137374
thf_o-thf_o,4.7,4.800000000000001,4.75,1.5087623259913703,1985,1315.64790941854
thf_o-thf_o,4.800000000000001,4.9,4.8500000000000005,1.4880164125115394,2041,1371.6246560446941
thf_o-thf_o,4.9,5.0,4.95,1.4278039490613574,2040,1428.767584892241
thf_o-thf_o,5.0,5.1000000000000005,5.050000000000001,1.3765261775398283,2047,1487.0766959611797
thf_o-thf_o,5.1000000000000005,5.2,5.15,1.375964089658538,2128,1546.55198925147
thf_o-thf_o,5.2,5.300000000000001,5.25,1.3035145089447646,2095,1607.1934647631713
thf_o-thf_o,5.300000000000001,5.4,5.3500000000000005,1.324744465535862,2211,1669.0011224962134
thf_o-thf_o,5.4,5.5,5.45,1.3233447651904495,2292,1731.9749624506553
thf_o-thf_o,5.5,5.6000000000000005,5.550000000000001,1.354590335710582,2433,1796.1149846264873
thf_o-thf_o,5.6000000000000005,5.7,5.65,1.2995446781546436,2419,1861.4211890236706
thf_o-thf_o,5.7,5.800000000000001,5.75,1.2604430196259475,2430,1927.8935756422636
thf_o-thf_o,5.800000000000001,5.9,5.8500000000000005,1.2873759047698048,2569,1995.532144482199
thf_o-thf_o,5.9,6.0,5.95,1.2260595668584426,2531,2064.336895543528
thf_o-thf_o,6.0,6.1000000000000005,6.050000000000001,1.184458945357591,2528,2134.307828826258
thf_o-thf_o,6.1000000000000005,6.2,6.15,1.1195019881802992,2469,2205.4449443303356
thf_o-thf_o,6.2,6.300000000000001,6.25,1.0747456434388554,2448,2277.7482420558163
thf_o-thf_o,6.300000000000001,6.4,6.3500000000000005,1.0717850484103997,2520,2351.21772200265
thf_o-thf_o,6.4,6.5,6.45,1.0379852370429337,2518,2425.853384170867
thf_o-thf_o,6.5,6.6000000000000005,6.550000000000001,1.0169267015518628,2544,2501.6552285604994
thf_o-thf_o,6.6000000000000005,6.7,6.65,0.9764900688575304,2518,2578.6232551714515
thf_o-thf_o,6.7,6.800000000000001,6.75,0.9289519398886468,2468,2656.7574640038306
thf_o-thf_o,6.800000000000001,6.9,6.8500000000000005,0.9583130689847328,2622,2736.0578550575647
thf_o-thf_o,6.9,7.0,6.95,0.9788659996221281,2757,2816.5244283326683
thf_o-thf_o,7.0,7.1000000000000005,7.050000000000001,0.9468085496917362,2744,2898.157183829188
thf_o-thf_o,7.1000000000000005,7.2,7.15,0.9362767804014283,2791,2980.9561215470494
thf_o-thf_o,7.2,7.300000000000001,7.25,0.9217202588311958,2825,3064.921241486319
thf_o-thf_o,7.300000000000001,7.4,7.3500000000000005,0.9041119030677408,2848,3150.052543646926
thf_o-thf_o,7.4,7.5,7.45,0.9167735177912807,2967,3236.3500280289386
thf_o-thf_o,7.5,7.6000000000000005,7.550000000000001,0.9034802416421706,3003,3323.81369463236
thf_o-thf_o,7.6000000000000005,7.7,7.65,0.9058025314225612,3091,3412.4435434570823
thf_o-thf_o,7.7,7.800000000000001,7.75,0.890858530271309,3120,3502.2395745032727
thf_o-thf_o,7.800000000000001,7.9,7.8500000000000005,0.9203490912353363,3307,3593.201787770755
thf_o-thf_o,7.9,8.0,7.95,0.8740058121877784,3221,3685.3301832596676
thf_o-thf_o,8.0,8.1,8.05,0.8836548244983468,3339,3778.6247609699403
thf_o-thf_o,8.1,8.200000000000001,8.15,0.9454993906634612,3662,3873.0855209016663
thf_o-thf_o,8.200000000000001,8.3,8.25,0.8987801543210164,3567,3968.7124630546505
thf_o-thf_o,8.3,8.4,8.350000000000001,0.9219025578489388,3748,4065.505587429057
thf_o-thf_o,8.4,8.5,8.45,0.9417636751608438,3921,4163.464894024854
thf_o-thf_o,8.5,8.6,8.55,0.9665484200837152,4120,4262.590382842027
thf_o-thf_o,8.6,8.700000000000001,8.65,0.9571654581598337,4176,4362.882053880662
thf_o-thf_o,8.700000000000001,8.8,8.75,0.9784201227629593,4368,4464.339907140514
thf_o-thf_o,8.8,8.9,8.850000000000001,0.9691339926496378,4426,4566.963942621804
thf_o-thf_o,8.9,9.0,8.95,0.9893477244537617,4621,4670.754160324515
